name,address,location,listed_in(city),cuisines,price,rating,votes,rest_type
AB's - Absolute Barbecues,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",BTM,BTM,"European,Mediterranean,North Indian,BBQ",1600,4.9,6375,Casual Dining
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2249,"Casual Dining, Bar"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2215,"Casual Dining, Bar"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 5th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2235,"Casual Dining, Bar"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 6th Block,Koramangala 6th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2244,"Casual Dining, Bar"
AB's - Absolute Barbecues,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",Jayanagar,Jayanagar,"European,Mediterranean,North Indian,BBQ",1600,4.9,6404,Casual Dining
AB's - Absolute Barbecues,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",JP Nagar,JP Nagar,"European,Mediterranean,North Indian,BBQ",1600,4.9,6404,Casual Dining
Belgian Waffle Factory,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",Indiranagar,Indiranagar,Desserts,400,4.9,1735,Dessert Parlor
Belgian Waffle Factory,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",MG Road,MG Road,Desserts,400,4.9,1750,Dessert Parlor
Belgian Waffle Factory,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",Church Street,Church Street,Desserts,400,4.9,1744,Dessert Parlor
Belgian Waffle Factory,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",Brigade Road,Brigade Road,Desserts,400,4.9,1746,Dessert Parlor
Belgian Waffle Factory,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",Lavelle Road,Lavelle Road,Desserts,400,4.9,1749,Dessert Parlor
Belgian Waffle Factory,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",Residency Road,Residency Road,Desserts,400,4.9,1749,Dessert Parlor
